"id","price","type","rooms","neighborhood","suites","bathrooms","garages","private_area","total_area"
620,320000,"Apartamento",2,"Centro",1,2,1,66.03,0
621,379000,"Apartamento",2,"Jardim Gisela",1,2,1,70,0
622,375000,"Apartamento",2,"Vila Industrial",1,2,1,72.04,0
623,600000,"Apartamento",2,"Centro",1,2,2,75.15,0
624,650000,"Casa",4,"Jardim Coopagro",1,2,2,127.15,490
625,352000,"Apartamento",2,"Jardim Tocantins",0,1,1,64,0
626,800000,"Casa",4,"Jardim Tocantins",2,3,2,184.64,360
627,330000,"Casa",3,"Conjunto Habitacional Britânia",1,2,2,70,133.75
628,380000,"Apartamento",2,"Jardim Tocantins",1,2,1,80.3,0
629,210000,"Casa",2,"São Francisco",1,2,2,57,139.75
630,260000,"Apartamento",1,"Jardim Santa Maria",1,2,1,60,0
631,362000,"Apartamento",2,"Jardim Tocantins",0,1,1,64,0
632,590000,"Casa",3,"Jardim Gisela",1,3,1,120,180.03
633,450000,"Apartamento",3,"Vila Industrial",1,2,1,90.47,0
634,450000,"Apartamento",3,"Vila Industrial",1,2,2,90.47,0
635,450000,"Apartamento",3,"Vila Industrial",1,2,1,90.47,0
636,450000,"Apartamento",3,"Vila Industrial",1,2,2,90.47,0
637,450000,"Apartamento",3,"Vila Industrial",1,2,1,90.47,0
638,312000,"Casa",3,"São Francisco",1,2,2,70,162.25
639,352000,"Apartamento",2,"Jardim Tocantins",0,1,1,64,0
640,1780000,"Apartamento",4,"Centro",2,3,2,193.2,0
641,495000,"Apartamento",2,"Jardim Tocantins",1,2,1,90.46,0
642,195000,"Apartamento",2,"Centro",0,1,1,57,0
643,480000,"Apartamento",3,"Centro",1,2,2,93.1,0
644,390000,"Casa",2,"Jardim Coopagro",1,3,2,136,253
645,240000,"Casa",2,"Jardim Bressan",0,2,1,57.26,142.5
646,450000,"Casa",3,"Jardim Concórdia",1,2,4,71,180
647,250000,"Casa",2,"Jardim Coopagro",1,2,1,60.75,125
648,638000,"Casa",3,"Jardim Filadélpia",1,3,2,139.75,187.92
649,250000,"Casa",2,"Jardim Coopagro",1,2,1,60.75,125
650,320000,"Apartamento",2,"Vila Industrial",2,3,2,150,180
651,235000,"Apartamento",2,"Jardim Tocantins",0,1,1,53.81,0
652,638000,"Casa",3,"Jardim Paraná",1,3,2,139.75,187.92
653,220000,"Casa",2,"São Francisco",0,1,1,74.4,250
654,342000,"Apartamento",2,"Jardim Tocantins",0,1,1,64,0
655,350000,"Casa",2,"Jardim Panorama",1,2,2,109.1,489.99
656,580000,"Casa",3,"Centro",1,3,1,118.55,180
657,1812255,"Apartamento",3,"Vila Industrial",3,4,2,170.54,0
658,450000,"Apartamento",3,"Boa Esperança",1,2,2,132,0
659,547000,"Casa",3,"Centro",1,2,3,99.97,501.74
660,2700000,"Apartamento",3,"Centro",3,4,2,289.46,0
661,2071757,"Apartamento",2,"Vila Industrial",2,3,2,170.54,0
662,1877149,"Apartamento",3,"Vila Industrial",3,4,2,170.54,0
663,580000,"Casa",3,"Centro",1,3,1,118.55,180
664,2030405,"Apartamento",3,"Vila Industrial",3,4,3,170.54,0
665,230000,"Casa",2,"Jardim Coopagro",0,1,1,52.7,200
666,1773588,"Apartamento",3,"Vila Industrial",3,4,2,170.54,0
667,2400000,"Apartamento",3,"Vila Industrial",3,4,3,170.54,314.32
668,250000,"Casa",2,"Jardim Panorama",0,1,1,98.12,367.5
669,350000,"Apartamento",2,"Jardim Pancera",0,1,1,63.5,0
670,450000,"Apartamento",3,"Jardim La Salle",1,2,1,115,0
671,1800000,"Casa",3,"Jardim La Salle",2,2,2,309.54,889
672,350000,"Casa",3,"Vila Pioneiro",0,2,3,138,275
673,580000,"Apartamento",3,"Vila Industrial",1,2,2,184.91,0
674,650000,"Apartamento",3,"Jardim Gisela",1,2,2,111.4,0
675,465250,"Apartamento",2,"Centro",1,2,1,79.25,0
676,471950,"Apartamento",2,"Centro",1,2,1,79.25,0
677,526500,"Apartamento",2,"Centro",1,2,1,76.3,0
678,385000,"Apartamento",3,"Jardim La Salle",1,2,1,123.93,0
679,538500,"Apartamento",2,"Centro",1,2,1,79.25,0
680,538500,"Apartamento",2,"Centro",1,2,1,79.25,0
681,526500,"Apartamento",2,"Centro",1,2,1,76.3,0
682,471950,"Apartamento",2,"Centro",1,2,1,79.25,0
683,788076,"Apartamento",2,"Centro",1,2,1,124.1,0
684,339532,"Apartamento",2,"Centro",1,2,1,58.57,0
685,275000,"Apartamento",1,"Biopark",1,1,0,37.5,0
686,342927,"Apartamento",2,"Centro",1,2,1,58.57,0
687,346357,"Apartamento",2,"Centro",1,2,1,58.57,0
688,255000,"Apartamento",1,"Biopark",1,1,0,36.5,0
689,356852,"Apartamento",2,"Centro",1,2,1,58.57,0
690,360420,"Apartamento",2,"Centro",1,2,1,58.57,0
691,225000,"Casa",3,"São Francisco",0,1,1,96,155.12
692,367665,"Apartamento",2,"Centro",1,2,1,58.57,0
693,353319,"Apartamento",2,"Centro",1,2,1,58.57,0
